Country,Industry,Carbon_emission
EST,H51,2.248
EST,H52,117.027
EST,H53,3.448
EST,I,61.632
EST,J58,1.048
EST,J59_J60,1.483
EST,J61,2.487
EST,J62_J63,8.577
EST,K64,3.567
EST,K65,1.6480000000000001
EST,K66,0.841
EST,L68,63.633
EST,M69_M70,14.997
EST,M71,10.571
EST,M72,5.389
EST,M73,2.8890000000000002
EST,M74_M75,3.057
EST,N,32.848
EST,O84,192.306
EST,P85,43.018
EST,Q,26.883
EST,R_S,45.833
EST,T,0.0
EST,U,0.0
EST,FC_HH,957.1170000000001
FIN,A01,1382.846
FIN,A02,314.676
FIN,A03,133.278
FIN,B,428.766
FIN,C10-C12,242.827
FIN,C13-C15,14.285
FIN,C16,99.31400000000001
FIN,C17,2976.917
FIN,C18,8.783
FIN,C19,3105.981
FIN,C20,1044.096
FIN,C21,5.362
FIN,C22,25.186
FIN,C23,1328.445
FIN,C24,3597.428
FIN,C25,13.866
FIN,C26,0.546
FIN,C27,0.0
FIN,C28,17.548000000000002
FIN,C29,10.512
FIN,C30,5.577
FIN,C31_C32,2.672
FIN,C33,0.147
FIN,D35,17914.411
FIN,E36,24.508
FIN,E37-E39,356.133
FIN,F,1222.464
FIN,G45,74.337
FIN,G46,6.452
FIN,G47,54.864000000000004
FIN,H49,3301.299
FIN,H50,2471.513
FIN,H51,3009.281
FIN,H52,72.83
FIN,H53,30.795
FIN,I,7.407
FIN,J58,3.427
FIN,J59_J60,2.084
FIN,J61,21.638
FIN,J62_J63,1.57
FIN,K64,148.779
FIN,K65,12.55
FIN,K66,28.48
FIN,L68,76.382
FIN,M69_M70,12.280000000000001
FIN,M71,1.799
FIN,M72,7.321
FIN,M73,1.618
FIN,M74_M75,2.581
FIN,N,502.033
FIN,O84,443.499
FIN,P85,60.269
FIN,Q,149.611
FIN,R_S,195.084
FIN,T,0.0
FIN,U,0.0
FIN,FC_HH,6330.992
FRA,A01,13097.358
FRA,A02,543.561
FRA,A03,1315.143
FRA,B,970.267
FRA,C10-C12,8405.76
FRA,C13-C15,749.703
FRA,C16,439.196
FRA,C17,2698.319
FRA,C18,256.004
FRA,C19,14543.772
FRA,C20,20139.187
FRA,C21,509.813
FRA,C22,1432.819
FRA,C23,19277.57
FRA,C24,19739.198
FRA,C25,967.96
FRA,C26,224.243
FRA,C27,331.068
FRA,C28,554.273
FRA,C29,715.056
FRA,C30,262.754
FRA,C31_C32,277.637
FRA,C33,413.862
FRA,D35,23190.912
FRA,E36,95.396
FRA,E37-E39,9486.704
FRA,F,7748.084
FRA,G45,2876.901
FRA,G46,3142.317
FRA,G47,3291.233
FRA,H49,20081.719
FRA,H50,3838.864
FRA,H51,18753.052
FRA,H52,535.011
FRA,H53,573.647
FRA,I,2594.025
FRA,J58,135.956
FRA,J59_J60,250.70000000000002
FRA,J61,295.666
FRA,J62_J63,323.886
FRA,K64,563.701
FRA,K65,110.173
FRA,K66,126.084
FRA,L68,446.764
FRA,M69_M70,622.384
FRA,M71,666.596
FRA,M72,351.22700000000003
FRA,M73,199.571
FRA,M74_M75,116.55
FRA,N,6485.905
FRA,O84,2348.581
FRA,P85,3973.414
FRA,Q,6209.165
FRA,R_S,3176.569
FRA,T,0.0
FRA,U,0.0
FRA,FC_HH,115111.523
GBR,A01,6439.6050000000005
GBR,A02,51.425000000000004
GBR,A03,892.089
GBR,B,18285.06
GBR,C10-C12,6954.6
GBR,C13-C15,1546.354
GBR,C16,690.892
GBR,C17,3048.222
GBR,C18,539.9350000000001
GBR,C19,15031.726
GBR,C20,10637.536
GBR,C21,620.179
GBR,C22,3444.215
GBR,C23,12441.516
GBR,C24,20588.817
GBR,C25,2438.274
GBR,C26,427.065
GBR,C27,573.19
GBR,C28,1214.272
GBR,C29,1587.4180000000001
GBR,C30,833.237
GBR,C31_C32,1225.772
GBR,C33,266.224
GBR,D35,126362.124
GBR,E36,744.081
GBR,E37-E39,1721.0240000000001
GBR,F,10831.128
GBR,G45,1881.934
GBR,G46,5702.836
GBR,G47,3873.328
GBR,H49,21036.606
GBR,H50,15788.263
GBR,H51,40208.618
GBR,H52,1206.778
GBR,H53,1689.15
GBR,I,2617.53
GBR,J58,182.118
GBR,J59_J60,170.78900000000002
GBR,J61,374.709
GBR,J62_J63,458.466
GBR,K64,7.604
GBR,K65,0.754
GBR,K66,2.964
GBR,L68,599.513
GBR,M69_M70,675.277
GBR,M71,430.911
GBR,M72,215.016
GBR,M73,114.10000000000001
GBR,M74_M75,285.226
GBR,N,2599.828
GBR,O84,4898.332
GBR,P85,2575.9700000000003
GBR,Q,4327.974
GBR,R_S,2307.625
GBR,T,89.57900000000001
GBR,U,0.0
GBR,FC_HH,124574.20700000001
GRC,A01,492.511
GRC,A02,1.1
GRC,A03,4.2
GRC,B,387.55
GRC,C10-C12,645.79
GRC,C13-C15,1.9000000000000001
GRC,C16,0.52
GRC,C17,132.22
GRC,C18,0.5
GRC,C19,5338.5
GRC,C20,926.32
GRC,C21,0.625
GRC,C22,868.97
GRC,C23,4359.379
GRC,C24,1124.756
GRC,C25,7.8
GRC,C26,0.194
GRC,C27,0.32
GRC,C28,0.3
GRC,C29,0.158
GRC,C30,0.3
GRC,C31_C32,1.5
GRC,C33,1.01
GRC,D35,40446.13
GRC,E36,1.02
GRC,E37-E39,1.3
GRC,F,210.781
GRC,G45,3.4
GRC,G46,9.5
GRC,G47,8.9
GRC,H49,3847.902
GRC,H50,1456.856
GRC,H51,361.464
GRC,H52,0.1
GRC,H53,0.0
GRC,I,340.571
GRC,J58,2.3000000000000003
GRC,J59_J60,3.1
GRC,J61,14.89
GRC,J62_J63,8.120000000000001
GRC,K64,21.457
GRC,K65,20.472
GRC,K66,10.457
GRC,L68,5.2
GRC,M69_M70,94.214
GRC,M71,56.127
GRC,M72,3.1
GRC,M73,13.754
GRC,M74_M75,12.457
GRC,N,56.741
GRC,O84,1708.176
GRC,P85,604.327
GRC,Q,498.088
GRC,R_S,126.958
GRC,T,26.232
GRC,U,0.0
GRC,FC_HH,14385.301
HUN,A01,2036.9660000000001
HUN,A02,97.139
HUN,A03,5.925
HUN,B,431.89300000000003
HUN,C10-C12,818.586
HUN,C13-C15,63.247
HUN,C16,37.156
HUN,C17,130.524
HUN,C18,95.792
HUN,C19,1794.323
HUN,C20,2564.658
HUN,C21,218.22400000000002
HUN,C22,165.984
HUN,C23,1741.785
HUN,C24,1143.9180000000001
HUN,C25,208.067
HUN,C26,158.472
HUN,C27,96.907
HUN,C28,230.506
HUN,C29,226.225
HUN,C30,8.239
HUN,C31_C32,74.196
HUN,C33,28.41
HUN,D35,11733.017
HUN,E36,50.968
HUN,E37-E39,209.90200000000002
HUN,F,906.068
HUN,G45,451.396
HUN,G46,749.194
HUN,G47,485.98
HUN,H49,2372.102
HUN,H50,19.118000000000002
HUN,H51,168.887
HUN,H52,1745.04
HUN,H53,33.891
HUN,I,114.117
HUN,J58,38.451
HUN,J59_J60,50.643
HUN,J61,128.35
HUN,J62_J63,176.867
HUN,K64,173.608
HUN,K65,19.748
HUN,K66,33.428
HUN,L68,435.76
HUN,M69_M70,142.3
HUN,M71,73.82000000000001
HUN,M72,58.306000000000004
HUN,M73,25.018
HUN,M74_M75,43.347
HUN,N,529.602
HUN,O84,668.951
HUN,P85,240.903
HUN,Q,248.11100000000002
HUN,R_S,169.452
HUN,T,0.6990000000000001
HUN,U,0.0
HUN,FC_HH,12913.219000000001
IRL,A01,966.202
IRL,A02,0.34500000000000003
IRL,A03,128.906
IRL,B,264.497
IRL,C10-C12,989.3290000000001
IRL,C13-C15,9.196
IRL,C16,60.42
IRL,C17,7.377
IRL,C18,7.377
IRL,C19,279.185
IRL,C20,117.756
IRL,C21,236.399
IRL,C22,67.258
IRL,C23,2912.958
IRL,C24,1320.299
IRL,C25,153.749
IRL,C26,89.959
IRL,C27,15.327
IRL,C28,53.11
IRL,C29,5.659
IRL,C30,4.952
IRL,C31_C32,97.087
IRL,C33,12.851
IRL,D35,10553.673
IRL,E36,18.134
IRL,E37-E39,179.061
IRL,F,432.928
IRL,G45,89.607
IRL,G46,822.5020000000001
IRL,G47,510.154
IRL,H49,2520.919
IRL,H50,170.155
IRL,H51,7961.539
IRL,H52,130.702
IRL,H53,29.240000000000002
IRL,I,134.854
IRL,J58,41.329
IRL,J59_J60,11.657
IRL,J61,82.75
IRL,J62_J63,75.904
IRL,K64,69.44800000000001
IRL,K65,39.675000000000004
IRL,K66,3.301
